Edge - Vertices 	 	Weight
4605 - 1085	 	 	10
156 - 1086	 	 	9
1419 - 1087	 	 	15
4582 - 1088	 	 	3
4977 - 1089	 	 	6
3097 - 1090	 	 	30
3643 - 1091	 	 	34
4340 - 1092	 	 	15
2424 - 1093	 	 	12
1478 - 1094	 	 	15
2302 - 1095	 	 	48
2427 - 1096	 	 	48
3472 - 1097	 	 	2
647 - 1098	 	 	3
2435 - 1099	 	 	20
906 - 1100	 	 	1
1511 - 1101	 	 	11
4204 - 1102	 	 	7
3223 - 1103	 	 	24
3636 - 1104	 	 	4
4466 - 1105	 	 	6
1566 - 1106	 	 	22
2083 - 1107	 	 	18
2572 - 1108	 	 	14
3793 - 1109	 	 	17
4886 - 1110	 	 	13
3993 - 1111	 	 	4
477 - 1112	 	 	12
618 - 1113	 	 	8
1330 - 1114	 	 	20
2913 - 1115	 	 	2
4399 - 1116	 	 	10
2282 - 1117	 	 	20
1704 - 1118	 	 	17
228 - 1119	 	 	7
4488 - 1120	 	 	55
3689 - 1121	 	 	2
1919 - 1122	 	 	10
1056 - 1123	 	 	1
3802 - 1124	 	 	5
3171 - 1125	 	 	35
2637 - 1126	 	 	12
4185 - 1127	 	 	6
4445 - 1128	 	 	4
4559 - 1129	 	 	29
975 - 1130	 	 	13
3825 - 1131	 	 	31
1751 - 1132	 	 	17
944 - 1133	 	 	13
4566 - 1134	 	 	7
850 - 1135	 	 	12
2208 - 1136	 	 	13
4619 - 1137	 	 	9
4575 - 1138	 	 	49
2801 - 1139	 	 	25
1516 - 1140	 	 	4
2132 - 1141	 	 	6
3609 - 1142	 	 	12
4767 - 1143	 	 	47
4203 - 1144	 	 	10
2091 - 1145	 	 	1
1400 - 1146	 	 	17
3076 - 1147	 	 	23
3441 - 1148	 	 	14
3398 - 1149	 	 	13
3089 - 1150	 	 	11
3127 - 1151	 	 	11
2830 - 1152	 	 	41
983 - 1153	 	 	10
2697 - 1154	 	 	5
1244 - 1155	 	 	7
2022 - 1156	 	 	15
3004 - 1157	 	 	27
1336 - 1158	 	 	10
683 - 1159	 	 	8
306 - 1160	 	 	1
2663 - 1161	 	 	11
4265 - 1162	 	 	50
2417 - 1163	 	 	28
1999 - 1164	 	 	25
1852 - 1165	 	 	20
4895 - 1166	 	 	26
4849 - 1167	 	 	5
4411 - 1168	 	 	8
1123 - 1169	 	 	23
1877 - 1170	 	 	5
3033 - 1171	 	 	1
3779 - 1172	 	 	13
3330 - 1173	 	 	23
2130 - 1174	 	 	21
1169 - 1175	 	 	21
83 - 1176	 	 	23
2083 - 1177	 	 	24
4998 - 1178	 	 	10
3824 - 1179	 	 	2
2105 - 1180	 	 	20
2768 - 1181	 	 	14
222 - 1182	 	 	16
2466 - 1183	 	 	17
1569 - 1184	 	 	4
1077 - 1185	 	 	17
745 - 1186	 	 	4
4105 - 1187	 	 	13
2575 - 1188	 	 	15
1035 - 1189	 	 	12
4008 - 1190	 	 	31
4047 - 1191	 	 	4
4473 - 1192	 	 	30
3527 - 1193	 	 	30
3911 - 1194	 	 	10
2834 - 1195	 	 	23
327 - 1196	 	 	44
1046 - 1197	 	 	15
2972 - 1198	 	 	13
4840 - 1199	 	 	42
3744 - 1200	 	 	3
4555 - 1201	 	 	33
1206 - 1202	 	 	5
1433 - 1203	 	 	27
4698 - 1204	 	 	17
1727 - 1205	 	 	15
847 - 1206	 	 	22
1427 - 1207	 	 	25
101 - 1208	 	 	14
2157 - 1209	 	 	25
1060 - 1210	 	 	29
3412 - 1211	 	 	9
4910 - 1212	 	 	15
2300 - 1213	 	 	5
3202 - 1214	 	 	14
4523 - 1215	 	 	12
828 - 1216	 	 	23
4165 - 1217	 	 	18
851 - 1218	 	 	22
4179 - 1219	 	 	7
3089 - 1220	 	 	15
2132 - 1221	 	 	24
1082 - 1222	 	 	3
4530 - 1223	 	 	19
2131 - 1224	 	 	6
3362 - 1225	 	 	13
4910 - 1226	 	 	24
2204 - 1227	 	 	30
885 - 1228	 	 	13
1485 - 1229	 	 	19
1992 - 1230	 	 	23
1735 - 1231	 	 	9
1435 - 1232	 	 	12
776 - 1233	 	 	8
3537 - 1234	 	 	17
202 - 1235	 	 	2
4732 - 1236	 	 	8
4937 - 1237	 	 	11
248 - 1238	 	 	2
3499 - 1239	 	 	19
1659 - 1240	 	 	48
2933 - 1241	 	 	38
2948 - 1242	 	 	14
576 - 1243	 	 	15
653 - 1244	 	 	18
343 - 1245	 	 	6
2455 - 1246	 	 	17
4755 - 1247	 	 	2
1242 - 1248	 	 	16
4546 - 1249	 	 	9
3901 - 1250	 	 	5
4927 - 1251	 	 	37
55 - 1252	 	 	14
3282 - 1253	 	 	30
1066 - 1254	 	 	15
3109 - 1255	 	 	16
2731 - 1256	 	 	9
1206 - 1257	 	 	29
65 - 1258	 	 	14
4469 - 1259	 	 	13
3001 - 1260	 	 	13
2804 - 1261	 	 	14
4423 - 1262	 	 	2
2703 - 1263	 	 	27
3106 - 1264	 	 	38
1197 - 1265	 	 	17
4260 - 1266	 	 	13
886 - 1267	 	 	8
969 - 1268	 	 	1
4742 - 1269	 	 	14
2534 - 1270	 	 	11
431 - 1271	 	 	5
4381 - 1272	 	 	13
1510 - 1273	 	 	14
1390 - 1274	 	 	12
3911 - 1275	 	 	16
2322 - 1276	 	 	2
1032 - 1277	 	 	13
1149 - 1278	 	 	68
3715 - 1279	 	 	17
4144 - 1280	 	 	1
2846 - 1281	 	 	43
4393 - 1282	 	 	11
1012 - 1283	 	 	30
831 - 1284	 	 	19
456 - 1285	 	 	2
1419 - 1286	 	 	33
2776 - 1287	 	 	27
825 - 1288	 	 	24
2443 - 1289	 	 	6
832 - 1290	 	 	6
1270 - 1291	 	 	53
3755 - 1292	 	 	3
3887 - 1293	 	 	26
4099 - 1294	 	 	24
2300 - 1295	 	 	14
4053 - 1296	 	 	23
2114 - 1297	 	 	2
609 - 1298	 	 	9
1501 - 1299	 	 	36
2255 - 1300	 	 	1
2860 - 1301	 	 	3
1094 - 1302	 	 	11
4861 - 1303	 	 	14
144 - 1304	 	 	14
3953 - 1305	 	 	26
3493 - 1306	 	 	9
1109 - 1307	 	 	16
3586 - 1308	 	 	29
2384 - 1309	 	 	8
1380 - 1310	 	 	26
169 - 1311	 	 	2
3094 - 1312	 	 	26
2949 - 1313	 	 	28
866 - 1314	 	 	7
4781 - 1315	 	 	26
4936 - 1316	 	 	13
3667 - 1317	 	 	1
4743 - 1318	 	 	15
564 - 1319	 	 	1
3127 - 1320	 	 	15
142 - 1321	 	 	10
2829 - 1322	 	 	1
495 - 1323	 	 	23
2724 - 1324	 	 	25
566 - 1325	 	 	19
4034 - 1326	 	 	12
2645 - 1327	 	 	7
1414 - 1328	 	 	20
293 - 1329	 	 	34
4602 - 1330	 	 	8
1133 - 1331	 	 	11
1663 - 1332	 	 	1
4138 - 1333	 	 	6
1457 - 1334	 	 	23
1246 - 1335	 	 	7
1001 - 1336	 	 	6
3302 - 1337	 	 	21
3085 - 1338	 	 	23
2728 - 1339	 	 	3
896 - 1340	 	 	1
2308 - 1341	 	 	6
1563 - 1342	 	 	12
653 - 1343	 	 	19
312 - 1344	 	 	20
1297 - 1345	 	 	1
4999 - 1346	 	 	1
3613 - 1347	 	 	2
977 - 1348	 	 	15
1482 - 1349	 	 	2
4755 - 1350	 	 	8
1053 - 1351	 	 	13
3973 - 1352	 	 	5
2443 - 1353	 	 	13
4881 - 1354	 	 	17
3468 - 1355	 	 	6
4293 - 1356	 	 	5
1183 - 1357	 	 	19
2361 - 1358	 	 	20
3887 - 1359	 	 	8
1649 - 1360	 	 	10
2866 - 1361	 	 	3
3293 - 1362	 	 	2
4816 - 1363	 	 	8
192 - 1364	 	 	7
3592 - 1365	 	 	21
4088 - 1366	 	 	3
3887 - 1367	 	 	8
812 - 1368	 	 	21
612 - 1369	 	 	20
4058 - 1370	 	 	15
4995 - 1371	 	 	11
1137 - 1372	 	 	9
2037 - 1373	 	 	5
3673 - 1374	 	 	26
309 - 1375	 	 	8
806 - 1376	 	 	17
4351 - 1377	 	 	15
1541 - 1378	 	 	3
3920 - 1379	 	 	18
1149 - 1380	 	 	15
3752 - 1381	 	 	36
4417 - 1382	 	 	5
868 - 1383	 	 	4
2595 - 1384	 	 	8
1083 - 1385	 	 	3
373 - 1386	 	 	19
4526 - 1387	 	 	2
2403 - 1388	 	 	28
2973 - 1389	 	 	27
3770 - 1390	 	 	7
4161 - 1391	 	 	11
539 - 1392	 	 	12
697 - 1393	 	 	12
3585 - 1394	 	 	7
60 - 1395	 	 	8
4931 - 1396	 	 	6
2407 - 1397	 	 	2
774 - 1398	 	 	7
2758 - 1399	 	 	14
198 - 1400	 	 	7
4646 - 1401	 	 	25
3110 - 1402	 	 	2
570 - 1403	 	 	1
3336 - 1404	 	 	23
3110 - 1405	 	 	7
4496 - 1406	 	 	12
1919 - 1407	 	 	22
563 - 1408	 	 	2
3465 - 1409	 	 	3
4650 - 1410	 	 	8
1583 - 1411	 	 	19
4911 - 1412	 	 	74
2383 - 1413	 	 	12
2920 - 1414	 	 	20
4393 - 1415	 	 	64
796 - 1416	 	 	11
248 - 1417	 	 	11
3476 - 1418	 	 	18
2533 - 1419	 	 	8
1436 - 1420	 	 	3
1392 - 1421	 	 	20
3248 - 1422	 	 	15
1852 - 1423	 	 	27
2093 - 1424	 	 	16
1818 - 1425	 	 	9
4570 - 1426	 	 	27
969 - 1427	 	 	19
4368 - 1428	 	 	18
3426 - 1429	 	 	4
3441 - 1430	 	 	25
3587 - 1431	 	 	10
3149 - 1432	 	 	4
2428 - 1433	 	 	11
719 - 1434	 	 	11
2558 - 1435	 	 	5
1678 - 1436	 	 	12
204 - 1437	 	 	7
2330 - 1438	 	 	18
3246 - 1439	 	 	58
4463 - 1440	 	 	24
129 - 1441	 	 	20
215 - 1442	 	 	20
2550 - 1443	 	 	13
1090 - 1444	 	 	3
1057 - 1445	 	 	35
1695 - 1446	 	 	21
4494 - 1447	 	 	22
1966 - 1448	 	 	36
887 - 1449	 	 	2
381 - 1450	 	 	12
4731 - 1451	 	 	15
3246 - 1452	 	 	11
4632 - 1453	 	 	3
64 - 1454	 	 	16
4053 - 1455	 	 	17
2217 - 1456	 	 	5
3014 - 1457	 	 	21
3416 - 1458	 	 	18
2559 - 1459	 	 	10
1723 - 1460	 	 	14
4466 - 1461	 	 	15
866 - 1462	 	 	34
1136 - 1463	 	 	21
3636 - 1464	 	 	3
4076 - 1465	 	 	3
113 - 1466	 	 	2
3179 - 1467	 	 	19
566 - 1468	 	 	2
1620 - 1469	 	 	10
1756 - 1470	 	 	5
1866 - 1471	 	 	15
1067 - 1472	 	 	32
2989 - 1473	 	 	10
1943 - 1474	 	 	1
750 - 1475	 	 	28
3405 - 1476	 	 	14
242 - 1477	 	 	11
1158 - 1478	 	 	10
2300 - 1479	 	 	11
3198 - 1480	 	 	38
1031 - 1481	 	 	2
3054 - 1482	 	 	8
3481 - 1483	 	 	13
1574 - 1484	 	 	31
2575 - 1485	 	 	11
2235 - 1486	 	 	14
2689 - 1487	 	 	8
4575 - 1488	 	 	11
143 - 1489	 	 	37
3629 - 1490	 	 	9
4521 - 1491	 	 	26
4027 - 1492	 	 	1
1823 - 1493	 	 	12
618 - 1494	 	 	2
4518 - 1495	 	 	17
889 - 1496	 	 	7
1203 - 1497	 	 	27
2534 - 1498	 	 	7
1105 - 1499	 	 	17
1114 - 1500	 	 	19
1340 - 1501	 	 	3
1017 - 1502	 	 	17
3956 - 1503	 	 	4
705 - 1504	 	 	1
3919 - 1505	 	 	3
1695 - 1506	 	 	4
3741 - 1507	 	 	11
4492 - 1508	 	 	18
242 - 1509	 	 	2
3777 - 1510	 	 	11
3344 - 1511	 	 	14
3287 - 1512	 	 	25
2041 - 1513	 	 	1
4350 - 1514	 	 	10
525 - 1515	 	 	15
4605 - 1516	 	 	3
2334 - 1517	 	 	18
4732 - 1518	 	 	18
4470 - 1519	 	 	32
1792 - 1520	 	 	21
4077 - 1521	 	 	33
1814 - 1522	 	 	33
4596 - 1523	 	 	19
2050 - 1524	 	 	6
295 - 1525	 	 	17
1537 - 1526	 	 	3
2140 - 1527	 	 	31
4195 - 1528	 	 	20
3476 - 1529	 	 	3
1401 - 1530	 	 	7
1870 - 1531	 	 	28
2598 - 1532	 	 	22
560 - 1533	 	 	4
2939 - 1534	 	 	11
2055 - 1535	 	 	22
1956 - 1536	 	 	1
481 - 1537	 	 	17
2889 - 1538	 	 	18
1998 - 1539	 	 	7
4119 - 1540	 	 	12
1447 - 1541	 	 	9
4845 - 1542	 	 	28
3150 - 1543	 	 	12
3855 - 1544	 	 	9
4167 - 1545	 	 	3
542 - 1546	 	 	46
1792 - 1547	 	 	28
2547 - 1548	 	 	6
2575 - 1549	 	 	5
1138 - 1550	 	 	36
3727 - 1551	 	 	9
4913 - 1552	 	 	14
1035 - 1553	 	 	18
3661 - 1554	 	 	19
3516 - 1555	 	 	12
3266 - 1556	 	 	2
623 - 1557	 	 	60
2128 - 1558	 	 	13
1951 - 1559	 	 	1
629 - 1560	 	 	27
1880 - 1561	 	 	16
2795 - 1562	 	 	23
4264 - 1563	 	 	18
3451 - 1564	 	 	23
2963 - 1565	 	 	28
2595 - 1566	 	 	3
2544 - 1567	 	 	34
2937 - 1568	 	 	9
2122 - 1569	 	 	3
1442 - 1570	 	 	6
4320 - 1571	 	 	19
4637 - 1572	 	 	8
3818 - 1573	 	 	12
741 - 1574	 	 	3
2069 - 1575	 	 	21
3538 - 1576	 	 	12
2068 - 1577	 	 	9
2001 - 1578	 	 	25
1735 - 1579	 	 	9
3410 - 1580	 	 	31
2415 - 1581	 	 	1
49 - 1582	 	 	28
4380 - 1583	 	 	5
4483 - 1584	 	 	20
694 - 1585	 	 	20
1012 - 1586	 	 	17
4741 - 1587	 	 	30
4978 - 1588	 	 	9
2769 - 1589	 	 	4
3738 - 1590	 	 	1
83 - 1591	 	 	20
2177 - 1592	 	 	15
2546 - 1593	 	 	22
1206 - 1594	 	 	20
4945 - 1595	 	 	9
1988 - 1596	 	 	15
3561 - 1597	 	 	22
2611 - 1598	 	 	23
3154 - 1599	 	 	23
3312 - 1600	 	 	47
538 - 1601	 	 	29
834 - 1602	 	 	12
2392 - 1603	 	 	9
2945 - 1604	 	 	15
1513 - 1605	 	 	4
2036 - 1606	 	 	30
1520 - 1607	 	 	2
2916 - 1608	 	 	7
1583 - 1609	 	 	27
3052 - 1610	 	 	16
4227 - 1611	 	 	3
514 - 1612	 	 	23
4053 - 1613	 	 	26
4417 - 1614	 	 	27
4135 - 1615	 	 	16
794 - 1616	 	 	34
2046 - 1617	 	 	13
79 - 1618	 	 	26
2805 - 1619	 	 	5
3290 - 1620	 	 	28
727 - 1621	 	 	12
1926 - 1622	 	 	15
3565 - 1623	 	 	2
3682 - 1624	 	 	3
2951 - 1625	 	 	10
304 - 1626	 	 	5
4416 - 1627	 	 	10
1617 - 1628	 	 	6
1242 - 1629	 	 	6
989 - 1630	 	 	3
2086 - 1631	 	 	3
1861 - 1632	 	 	4
2748 - 1633	 	 	33
2725 - 1634	 	 	18
1828 - 1635	 	 	24
3094 - 1636	 	 	33
1399 - 1637	 	 	2
4042 - 1638	 	 	2
4174 - 1639	 	 	7
719 - 1640	 	 	2
3829 - 1641	 	 	4
1826 - 1642	 	 	6
672 - 1643	 	 	9
3 - 1644	 	 	14
4297 - 1645	 	 	24
705 - 1646	 	 	2
721 - 1647	 	 	12
1743 - 1648	 	 	5
1799 - 1649	 	 	17
962 - 1650	 	 	23
3729 - 1651	 	 	16
1649 - 1652	 	 	26
4733 - 1653	 	 	26
3506 - 1654	 	 	13
1494 - 1655	 	 	18
3465 - 1656	 	 	11
4658 - 1657	 	 	42
515 - 1658	 	 	7
3426 - 1659	 	 	38
2166 - 1660	 	 	17
4010 - 1661	 	 	10
4609 - 1662	 	 	23
4072 - 1663	 	 	15
4042 - 1664	 	 	7
1730 - 1665	 	 	82
4231 - 1666	 	 	20
4310 - 1667	 	 	11
1272 - 1668	 	 	1
3215 - 1669	 	 	31
1889 - 1670	 	 	14
4072 - 1671	 	 	26
2011 - 1672	 	 	10
1839 - 1673	 	 	23
2136 - 1674	 	 	17
4228 - 1675	 	 	12
1711 - 1676	 	 	4
1271 - 1677	 	 	8
3138 - 1678	 	 	16
1508 - 1679	 	 	19
1705 - 1680	 	 	23
2360 - 1681	 	 	13
4099 - 1682	 	 	10
261 - 1683	 	 	20
178 - 1684	 	 	11
1406 - 1685	 	 	12
4977 - 1686	 	 	4
3236 - 1687	 	 	12
3082 - 1688	 	 	25
1299 - 1689	 	 	43
2792 - 1690	 	 	25
301 - 1691	 	 	24
2358 - 1692	 	 	5
3226 - 1693	 	 	26
4684 - 1694	 	 	43
4560 - 1695	 	 	14
972 - 1696	 	 	54
1924 - 1697	 	 	29
2932 - 1698	 	 	20
2470 - 1699	 	 	2
717 - 1700	 	 	28
536 - 1701	 	 	17
592 - 1702	 	 	4
3527 - 1703	 	 	1
3901 - 1704	 	 	11
2119 - 1705	 	 	17
1289 - 1706	 	 	24
3042 - 1707	 	 	6
44 - 1708	 	 	8
2674 - 1709	 	 	19
4336 - 1710	 	 	27
4985 - 1711	 	 	2
381 - 1712	 	 	1
4545 - 1713	 	 	10
4867 - 1714	 	 	14
3208 - 1715	 	 	12
105 - 1716	 	 	10
44 - 1717	 	 	25
3026 - 1718	 	 	37
1848 - 1719	 	 	16
3718 - 1720	 	 	21
1566 - 1721	 	 	2
2052 - 1722	 	 	48
4232 - 1723	 	 	18
3122 - 1724	 	 	24
2014 - 1725	 	 	21
1590 - 1726	 	 	12
506 - 1727	 	 	20
3286 - 1728	 	 	11
532 - 1729	 	 	24
3588 - 1730	 	 	22
1876 - 1731	 	 	14
4090 - 1732	 	 	13
2208 - 1733	 	 	2
3012 - 1734	 	 	5
2659 - 1735	 	 	1
4598 - 1736	 	 	16
3775 - 1737	 	 	16
1012 - 1738	 	 	14
178 - 1739	 	 	2
1849 - 1740	 	 	7
2472 - 1741	 	 	17
4644 - 1742	 	 	39
4831 - 1743	 	 	18
2038 - 1744	 	 	4
1781 - 1745	 	 	14
3666 - 1746	 	 	8
1498 - 1747	 	 	17
893 - 1748	 	 	22
766 - 1749	 	 	2
2018 - 1750	 	 	11
1646 - 1751	 	 	6
178 - 1752	 	 	13
3712 - 1753	 	 	45
2397 - 1754	 	 	33
3010 - 1755	 	 	18
2503 - 1756	 	 	12
3834 - 1757	 	 	25
2887 - 1758	 	 	17
2571 - 1759	 	 	25
2242 - 1760	 	 	1
2910 - 1761	 	 	13
3946 - 1762	 	 	31
3524 - 1763	 	 	10
1218 - 1764	 	 	16
847 - 1765	 	 	8
2685 - 1766	 	 	12
1382 - 1767	 	 	18
4548 - 1768	 	 	7
2621 - 1769	 	 	26
4578 - 1770	 	 	20
2729 - 1771	 	 	26
2015 - 1772	 	 	18
2639 - 1773	 	 	18
3194 - 1774	 	 	28
1873 - 1775	 	 	16
4231 - 1776	 	 	10
3462 - 1777	 	 	12
1873 - 1778	 	 	24
1839 - 1779	 	 	5
3764 - 1780	 	 	23
3536 - 1781	 	 	16
2867 - 1782	 	 	17
3826 - 1783	 	 	25
1374 - 1784	 	 	12
2295 - 1785	 	 	25
3852 - 1786	 	 	20
267 - 1787	 	 	2
4940 - 1788	 	 	28
3305 - 1789	 	 	17
4978 - 1790	 	 	12
4068 - 1791	 	 	15
1316 - 1792	 	 	1
4000 - 1793	 	 	46
3838 - 1794	 	 	36
1169 - 1795	 	 	14
2294 - 1796	 	 	15
4369 - 1797	 	 	7
1539 - 1798	 	 	17
4901 - 1799	 	 	15
266 - 1800	 	 	9
3819 - 1801	 	 	31
4827 - 1802	 	 	22
1155 - 1803	 	 	2
1583 - 1804	 	 	3
1588 - 1805	 	 	21
1438 - 1806	 	 	15
4504 - 1807	 	 	12
4111 - 1808	 	 	8
2288 - 1809	 	 	17
3014 - 1810	 	 	2
1687 - 1811	 	 	6
2407 - 1812	 	 	16
90 - 1813	 	 	18
3144 - 1814	 	 	13
3368 - 1815	 	 	12
3071 - 1816	 	 	7
4363 - 1817	 	 	8
4049 - 1818	 	 	15
4980 - 1819	 	 	16
4628 - 1820	 	 	11
4938 - 1821	 	 	5
1178 - 1822	 	 	16
2555 - 1823	 	 	14
2643 - 1824	 	 	9
3655 - 1825	 	 	13
3819 - 1826	 	 	7
1736 - 1827	 	 	27
4494 - 1828	 	 	13
2353 - 1829	 	 	26
1331 - 1830	 	 	15
4499 - 1831	 	 	21
1149 - 1832	 	 	16
2509 - 1833	 	 	16
1554 - 1834	 	 	15
3124 - 1835	 	 	2
588 - 1836	 	 	14
2370 - 1837	 	 	14
786 - 1838	 	 	15
3529 - 1839	 	 	14
2089 - 1840	 	 	12
2098 - 1841	 	 	18
3780 - 1842	 	 	19
4718 - 1843	 	 	12
2469 - 1844	 	 	16
3131 - 1845	 	 	29
318 - 1846	 	 	5
2177 - 1847	 	 	5
2015 - 1848	 	 	20
817 - 1849	 	 	4
3426 - 1850	 	 	21
2153 - 1851	 	 	1
3907 - 1852	 	 	15
640 - 1853	 	 	6
2087 - 1854	 	 	1
3765 - 1855	 	 	26
3828 - 1856	 	 	5
997 - 1857	 	 	28
3900 - 1858	 	 	13
3962 - 1859	 	 	9
1016 - 1860	 	 	16
1233 - 1861	 	 	21
4577 - 1862	 	 	27
4912 - 1863	 	 	16
3481 - 1864	 	 	6
2176 - 1865	 	 	23
1715 - 1866	 	 	7
3274 - 1867	 	 	18
39 - 1868	 	 	27
3207 - 1869	 	 	65
2796 - 1870	 	 	12
2368 - 1871	 	 	5
3842 - 1872	 	 	10
2508 - 1873	 	 	10
746 - 1874	 	 	15
1987 - 1875	 	 	15
653 - 1876	 	 	4
2246 - 1877	 	 	10
691 - 1878	 	 	3
1992 - 1879	 	 	14
3838 - 1880	 	 	4
2469 - 1881	 	 	21
4569 - 1882	 	 	1
3065 - 1883	 	 	15
3216 - 1884	 	 	27
3476 - 1885	 	 	40
2923 - 1886	 	 	1
816 - 1887	 	 	13
1735 - 1888	 	 	15
2782 - 1889	 	 	12
1044 - 1890	 	 	33
185 - 1891	 	 	10
4140 - 1892	 	 	24
1632 - 1893	 	 	38
853 - 1894	 	 	22
30 - 1895	 	 	35
4466 - 1896	 	 	48
2367 - 1897	 	 	23
1261 - 1898	 	 	8
4022 - 1899	 	 	25
1798 - 1900	 	 	34
2629 - 1901	 	 	39
3456 - 1902	 	 	14
494 - 1903	 	 	15
3212 - 1904	 	 	17
1086 - 1905	 	 	21
163 - 1906	 	 	34
1902 - 1907	 	 	26
4861 - 1908	 	 	11
1588 - 1909	 	 	3
3841 - 1910	 	 	32
760 - 1911	 	 	7
4364 - 1912	 	 	18
465 - 1913	 	 	12
1045 - 1914	 	 	15
2577 - 1915	 	 	30
3293 - 1916	 	 	21
80 - 1917	 	 	23
393 - 1918	 	 	26
2360 - 1919	 	 	14
1902 - 1920	 	 	6
4586 - 1921	 	 	33
2351 - 1922	 	 	23
2106 - 1923	 	 	48
4464 - 1924	 	 	13
1852 - 1925	 	 	57
608 - 1926	 	 	12
3078 - 1927	 	 	23
578 - 1928	 	 	9
95 - 1929	 	 	10
3861 - 1930	 	 	16
769 - 1931	 	 	9
2058 - 1932	 	 	11
1043 - 1933	 	 	21
3305 - 1934	 	 	6
380 - 1935	 	 	19
2521 - 1936	 	 	38
216 - 1937	 	 	20
4241 - 1938	 	 	18
105 - 1939	 	 	5
2379 - 1940	 	 	63
779 - 1941	 	 	39
2049 - 1942	 	 	8
376 - 1943	 	 	12
4392 - 1944	 	 	56
3332 - 1945	 	 	11
1332 - 1946	 	 	10
563 - 1947	 	 	9
1243 - 1948	 	 	5
4755 - 1949	 	 	4
3966 - 1950	 	 	12
2183 - 1951	 	 	24
2660 - 1952	 	 	22
4631 - 1953	 	 	3
788 - 1954	 	 	12
1379 - 1955	 	 	22
2769 - 1956	 	 	10
3330 - 1957	 	 	20
780 - 1958	 	 	13
2617 - 1959	 	 	18
519 - 1960	 	 	14
2352 - 1961	 	 	26
128 - 1962	 	 	20
2467 - 1963	 	 	15
455 - 1964	 	 	2
280 - 1965	 	 	21
4672 - 1966	 	 	3
2761 - 1967	 	 	32
2838 - 1968	 	 	12
3217 - 1969	 	 	29
3955 - 1970	 	 	10
2089 - 1971	 	 	19
4330 - 1972	 	 	19
970 - 1973	 	 	2
2873 - 1974	 	 	4
2204 - 1975	 	 	18
2438 - 1976	 	 	2
3604 - 1977	 	 	10
4448 - 1978	 	 	2
4325 - 1979	 	 	2
4162 - 1980	 	 	19
3480 - 1981	 	 	12
3915 - 1982	 	 	8
2295 - 1983	 	 	16
2760 - 1984	 	 	10
3429 - 1985	 	 	3
3555 - 1986	 	 	1
111 - 1987	 	 	7
3993 - 1988	 	 	19
4241 - 1989	 	 	1
4580 - 1990	 	 	9
2225 - 1991	 	 	8
3238 - 1992	 	 	6
2539 - 1993	 	 	15
2320 - 1994	 	 	43
2835 - 1995	 	 	28
4505 - 1996	 	 	2
1723 - 1997	 	 	2
4488 - 1998	 	 	7
1284 - 1999	 	 	16
3122 - 2000	 	 	2
1418 - 2001	 	 	11
3275 - 2002	 	 	10
4664 - 2003	 	 	28
3274 - 2004	 	 	34
3143 - 2005	 	 	9
2658 - 2006	 	 	74
4758 - 2007	 	 	35
2825 - 2008	 	 	27
1646 - 2009	 	 	35
3378 - 2010	 	 	11
3932 - 2011	 	 	9
2493 - 2012	 	 	21
2971 - 2013	 	 	21
1386 - 2014	 	 	20
3388 - 2015	 	 	6
3229 - 2016	 	 	11
1218 - 2017	 	 	19
453 - 2018	 	 	18
255 - 2019	 	 	18
4013 - 2020	 	 	22
1046 - 2021	 	 	12
1470 - 2022	 	 	4
3953 - 2023	 	 	7
1646 - 2024	 	 	9
1247 - 2025	 	 	22
2455 - 2026	 	 	18
1072 - 2027	 	 	25
1482 - 2028	 	 	9
1332 - 2029	 	 	13
4501 - 2030	 	 	5
1019 - 2031	 	 	19
3680 - 2032	 	 	3
210 - 2033	 	 	26
60 - 2034	 	 	52
4600 - 2035	 	 	15
3702 - 2036	 	 	2
4291 - 2037	 	 	11
1505 - 2038	 	 	27
2920 - 2039	 	 	24
1432 - 2040	 	 	9
3186 - 2041	 	 	3
4086 - 2042	 	 	17
456 - 2043	 	 	9
4345 - 2044	 	 	74
1353 - 2045	 	 	21
4501 - 2046	 	 	3
1716 - 2047	 	 	2
475 - 2048	 	 	3
4298 - 2049	 	 	3
4775 - 2050	 	 	7
1056 - 2051	 	 	53
2548 - 2052	 	 	1
537 - 2053	 	 	17
3805 - 2054	 	 	14
1849 - 2055	 	 	7
1750 - 2056	 	 	10
4190 - 2057	 	 	26
579 - 2058	 	 	6
4777 - 2059	 	 	3
4121 - 2060	 	 	2
3067 - 2061	 	 	1
647 - 2062	 	 	12
4775 - 2063	 	 	8
100 - 2064	 	 	18
4759 - 2065	 	 	26
3150 - 2066	 	 	25
3394 - 2067	 	 	12
2138 - 2068	 	 	13
972 - 2069	 	 	1
868 - 2070	 	 	9
2485 - 2071	 	 	4
3224 - 2072	 	 	20
2501 - 2073	 	 	18
4598 - 2074	 	 	8
1121 - 2075	 	 	27
1159 - 2076	 	 	34
4741 - 2077	 	 	17
1946 - 2078	 	 	16
1063 - 2079	 	 	27
1865 - 2080	 	 	8
4698 - 2081	 	 	20
4545 - 2082	 	 	11
1260 - 2083	 	 	5
1639 - 2084	 	 	5
2691 - 2085	 	 	21
2587 - 2086	 	 	1
1438 - 2087	 	 	10
1931 - 2088	 	 	14
3160 - 2089	 	 	3
4464 - 2090	 	 	6
3335 - 2091	 	 	2
4374 - 2092	 	 	37
574 - 2093	 	 	9
1650 - 2094	 	 	13
4619 - 2095	 	 	17
